Ações por Índice
Dados de 1 a 4 de 2024
Empresa;Código;Índices dos quais participa
LILLY;DRN;LILY34;BDRX;
LLOYDS BANKI;DRN;L1YG34;BDRX;
LOCALIZA;ON   NM;RENT3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX;
LOG COM PROP;ON   NM;LOGG3;IBRA,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL;
LOG-IN;ON   NM;LOGN3;IGCX,IGNM,ITAG;
LOJAS MARISA;ON   NM;AMAR3;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL;
LOJAS RENNER;ON   NM;LREN3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
LOPES BRASIL;ON   NM;LPSB3;IGCX,IGNM,ITAG;
LUMEN TECH;DRN;L1MN34;BDRX;
LUPATECH;ON   NM;LUPA3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
LWSA;ON   NM;LWSA3;GPTW,IBOV,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL;
